date	title	content	createdAt	updatedAt
20260529	심리상담을 받다	심리상담 2회차\n몸의 감각을 느끼고 나 자신에게 집중해 보는 시간을 될꺼라 고 한다	2026-05-30T01:19:46.989Z	2026-05-30T01:19:46.989Z
20260530	오늘은 사전 선거날	잔득 온 선거 홍보 파일을 대충 본 상태라 \n지금 누구를 찍어야 할지 혼란 스럽다.\n제미나이 한테 물어볼까?\n	2026-05-30T01:19:04.587Z	2026-05-30T01:19:04.587Z
